run,source,fold,family,failed,n_lipids,n_test,r2_mean,r2_median,corr_mean,corr_median,rmse_mean,rmse_median,mae_mean,mae_median
FOLD-1-ATLASx50p0-BASELINES-GCN_FAISS-256-rootdissolve-dn3-prune0.9710,baselines_cv,FOLD-1,baseline,False,173,620226,0.40779058723383976,0.402731299261149,0.6384081107858357,0.6453297558195864,0.0005583881596336554,0.0001728932747739,0.00040539748356415616,0.0001207210995622
FOLD-1-BASELINES-LINEAR-25610,baselines_cv,FOLD-1,baseline,False,173,620226,0.052167840573645693,0.0528017336536149,0.23087445491438657,0.2512451991626951,0.0007091232019040723,0.0002285168545443,0.0005586932355041252,0.0001794443480652
FOLD-1-BASELINES-MEAN-25610,baselines_cv,FOLD-1,baseline,False,173,620226,-0.0076620904157813,-0.004358095219461,-5.100055548826297e-08,-2.208746958722286e-09,0.0007255995254626407,0.0002376813980802,0.0005772830977737189,0.0001920936004214
FOLD-1-BASELINES-MLP-25610,baselines_cv,FOLD-1,baseline,False,173,620226,0.4134752689046717,0.4071619185162023,0.6388153323408651,0.645205654400354,0.0005553207863547899,0.0001707412450343,0.00040172894603297615,0.0001191130070121
FOLD-1-BASELINES-XGBOOST-25610,baselines_cv,FOLD-1,baseline,False,173,620226,0.30501910967944096,0.2971118535031546,0.5484595911405052,0.5558226206354177,0.0006043371813365162,0.0001870351774314,0.00045450756473726476,0.0001399384591831
FOLD-1-NM100-BASELINES-MLP_EIGEN-256-rootdissolve-dn3-prune0.9710,baselines_cv,FOLD-1,baseline,False,173,620226,0.41057590027377744,0.4081036906336528,0.6385846528373647,0.6491016828683084,0.0005554457529125724,0.0001722043729379,0.0004021002040832809,0.0001202660678335
FOLD-1-NM1300-BASELINES-MLP_EIGEN-256-rootdissolve-dn3-prune0.9710,baselines_cv,FOLD-1,baseline,False,173,620226,0.3804081879947391,0.3816843360110855,0.6268171827067742,0.637279017379177,0.0005709098182671878,0.0001789053261725,0.00040948062332231096,0.000121867551415
FOLD-1-NM300-BASELINES-MLP_EIGEN-256-rootdissolve-dn3-prune0.9710,baselines_cv,FOLD-1,baseline,False,173,620226,0.4147670844847768,0.4129286401635677,0.6424139562364973,0.6573084874846662,0.0005541091564352942,0.0001719685980492,0.00040112626428017535,0.0001194331336335
FOLD-2-ATLASx50p0-BASELINES-GCN_FAISS-256-rootdissolve-dn3-prune0.9710,baselines_cv,FOLD-2,baseline,False,173,732764,0.40273557430860457,0.395632130393555,0.6307647625639283,0.6385340696914041,0.0005737711423242127,0.0001813640484249,0.00041990078166263215,0.0001250876027397
FOLD-2-BASELINES-LINEAR-25610,baselines_cv,FOLD-2,baseline,False,173,732764,0.037467760825453326,0.0376808648354697,0.19651038649824515,0.2128661905212157,0.000730865802694032,0.0002331986361116,0.0005734614044959728,0.0001809012895717
FOLD-2-BASELINES-MEAN-25610,baselines_cv,FOLD-2,baseline,False,173,732764,-0.007525885311146548,-0.0047833674452957,inf,2.98918893803934e-09,0.0007431568110238979,0.0002392134073924,0.0005906305697256351,0.0001963457717255
FOLD-2-BASELINES-MLP-25610,baselines_cv,FOLD-2,baseline,False,173,732764,0.41269064212820195,0.4020405250070868,0.635629416639578,0.6406147164949253,0.0005690090721448164,0.0001796771610561,0.0004153520575367578,0.0001233162037504
FOLD-2-BASELINES-XGBOOST-25610,baselines_cv,FOLD-2,baseline,False,173,732764,0.29068090486110054,0.2829085258935796,0.5329269779071497,0.5406032613118906,0.0006221588308025909,0.0001998964586684,0.00046714157953445424,0.0001463128201694
FOLD-2-NM100-BASELINES-MLP_EIGEN-256-rootdissolve-dn3-prune0.9710,baselines_cv,FOLD-2,baseline,False,173,732764,0.4049245720747965,0.4049773418028292,0.6309772611826255,0.6430733933967726,0.0005724024302417866,0.0001803636276317,0.00041790492250625615,0.0001251694762282
FOLD-2-NM1300-BASELINES-MLP_EIGEN-256-rootdissolve-dn3-prune0.9710,baselines_cv,FOLD-2,baseline,False,173,732764,0.35111329558509313,0.3483125682552901,0.6072871801224997,0.6149387315640902,0.0005966889928126583,0.0001938789878221,0.0004283211398850788,0.0001308843860332
FOLD-2-NM300-BASELINES-MLP_EIGEN-256-rootdissolve-dn3-prune0.9710,baselines_cv,FOLD-2,baseline,False,173,732764,0.3942857969525335,0.3887231599722093,0.6260350981483132,0.633259174866706,0.0005769861181957457,0.000182094638069,0.0004195721763420521,0.0001252934180093
FOLD-3-ATLASx50p0-BASELINES-GCN_FAISS-256-rootdissolve-dn3-prune0.9710,baselines_cv,FOLD-3,baseline,False,173,695996,0.37184108943865235,0.3510018380691732,0.6180617556349045,0.6206477667745777,0.0005830421082120266,0.0001884833409774,0.00042387890432709263,0.0001305130141686
