full_model,kernel_family,n_lipids,r2_full_median,r2_best_single_median,d_r2_mean,d_r2_median,r2_win_rate,d_corr_mean,d_corr_median,corr_win_rate
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_cluster_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-clk64-sw1.0-cs010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.4143184159816904,0.36592746273900156,0.03498534564210814,0.04839095324268883,0.8,0.03984732462606782,0.03837664349951542,1.0
[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),5,0.4138760392668759,0.36592746273900156,0.03264791068638624,0.04794857652787432,0.8,0.035154562356747646,0.03210970030333049,1.0
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.0-learnspecw10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.4128570423724516,0.36592746273900156,0.030662193250474402,0.046929579633450014,0.8,0.03993473899028362,0.039155941441958664,1.0
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.95-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.41263863210099894,0.36592746273900156,0.03037279129708837,0.04671116936199737,0.8,0.03966716523970684,0.03740563093139718,1.0
[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),5,0.4139586779754113,0.36592746273900156,0.03057677100681349,0.046524250312510396,0.8,0.03512771597315616,0.03682942021702118,1.0
[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),5,0.41151995210827874,0.36592746273900156,0.03137198510549517,0.04559248936927718,0.8,0.03643634463941699,0.03683002225062759,1.0
[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),5,0.4111202379614892,0.36592746273900156,0.030191319434345477,0.04519277522248766,0.8,0.03402186591212735,0.03286469345605503,1.0
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.9-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.40977206287071455,0.36592746273900156,0.02823406079183407,0.043844600131712985,0.8,0.03714183112741394,0.04217537706732444,1.0
[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),5,0.4093346409159816,0.36592746273900156,0.02459846064690551,0.04340717817698003,0.8,0.034058611013606285,0.030592051104949447,1.0
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_cluster_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-clk64-sw1.0-cs010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.40918670238449184,0.36592746273900156,0.02963058825767358,0.04325923964549028,0.8,0.03778791274558228,0.03491238068118849,1.0
