run,fold,model,kernel_family,lipid_global_idx,lipid_name,slug,batch,test_rmse_z,test_corr,test_r2,mean_pred_std_z,fit_sec
FOLD-1-euclidean-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs1010,fold_1,euclidean-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs10,euclidean,97,PC 35:1 PE 38:1,PC_35-1_PE_38-1,0,0.7989358901977539,0.1505115662873342,-0.0254653928519854,0.9498398303985596,768.5328538417816
FOLD-1-euclidean-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs1010,fold_1,euclidean-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs10,euclidean,18,PA 36:1,PA_36-1,0,0.7300769686698914,0.4878341508584242,0.1764479432959361,0.822444498538971,768.5328538417816
FOLD-1-euclidean-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs1010,fold_1,euclidean-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs10,euclidean,57,LPC 22:6,LPC_22-6,0,0.7771355509757996,0.6151393310146024,0.364588614499716,0.7630611658096313,768.5328538417816
FOLD-1-euclidean-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs1010,fold_1,euclidean-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs10,euclidean,86,PE O-36:0 PE O-38:3,PE_O-36-0_PE_O-38-3,0,0.7261685132980347,0.6962221206307359,0.4845932327824882,0.7297484874725342,768.5328538417816
FOLD-1-euclidean-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs1010,fold_1,euclidean-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs10,euclidean,171,Hex2Cer 40:1;O2,Hex2Cer_40-1_O2,0,0.5874212384223938,0.8080881784382576,0.652172615731258,0.6092338562011719,768.5328538417816
FOLD-1-euclidean-no-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs1010,fold_1,euclidean-no-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs10,euclidean,97,PC 35:1 PE 38:1,PC_35-1_PE_38-1,0,0.7975947260856628,0.1542678138655134,-0.0220254165012663,0.9498658776283264,481.6797352790833
FOLD-1-euclidean-no-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs1010,fold_1,euclidean-no-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs10,euclidean,18,PA 36:1,PA_36-1,0,0.728076159954071,0.4923722476967223,0.1809557195681117,0.8230383992195129,481.6797352790833
FOLD-1-euclidean-no-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs1010,fold_1,euclidean-no-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs10,euclidean,57,LPC 22:6,LPC_22-6,0,0.7741346955299377,0.614810295251302,0.3694863032651683,0.7632697820663452,481.6797352790833
FOLD-1-euclidean-no-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs1010,fold_1,euclidean-no-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs10,euclidean,86,PE O-36:0 PE O-38:3,PE_O-36-0_PE_O-38-3,0,0.7256030440330505,0.6969029670380427,0.4853956059909745,0.72781902551651,481.6797352790833
FOLD-1-euclidean-no-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs1010,fold_1,euclidean-no-ard-matern-nu1.5-ind1000-5-lr0.05-ep20-lbs10,euclidean,171,Hex2Cer 40:1;O2,Hex2Cer_40-1_O2,0,0.5888155698776245,0.807294308778181,0.6505194281348805,0.6097513437271118,481.6797352790833
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.910,fold_1,learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9,manifold,97,PC 35:1 PE 38:1,PC_35-1_PE_38-1,0,0.7976112365722656,0.1175690709336391,-0.0220676704875495,0.9711739420890808,1091.1212975025178
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.910,fold_1,learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9,manifold,18,PA 36:1,PA_36-1,0,0.7473379969596863,0.404483897893112,0.1370455381625019,0.8765784502029419,1091.1212975025178
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.910,fold_1,learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9,manifold,57,LPC 22:6,LPC_22-6,0,0.838779628276825,0.5149734263028583,0.2597862067225311,0.8464758992195129,1091.1212975025178
FOLD-1-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.910,fold_1,learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9,manifold,86,PE O-36:0 PE O-38:3,PE_O-36-0_PE_O-38-3,0,0.805209219455719,0.6091517892360824,0.3662867923056482,0.8133679032325745,1091.1212975025178
