lipid,model,kernel_family,n_folds,n_runs,test_rmse_z_mean,test_rmse_z_median,test_rmse_z_min,test_rmse_z_max,test_corr_mean,test_corr_median,test_corr_min,test_corr_max,test_r2_mean,test_r2_median,test_r2_min,test_r2_max,mean_pred_std_z_mean,mean_pred_std_z_median,mean_pred_std_z_min,mean_pred_std_z_max,fit_sec_mean,fit_sec_median,fit_sec_min,fit_sec_max
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5706487849189373,0.5697335295052126,0.5190235142289213,0.6354453181888584,0.8239550324174068,0.8232992250955412,0.7858218734607963,0.8557144500470073,0.672754394447559,0.6752861177138567,0.5962092475918604,0.7306145916774607,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-2000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.810,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5672028307268179,0.5700610757105757,0.5163270134858342,0.6215784912470081,0.8256169577180879,0.8239764190867069,0.7928835304904827,0.8570510548432022,0.6767063793921544,0.6749567680532266,0.613640179219093,0.7334064151447992,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_cluster_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-clk64-sw1.0-cs010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5675349387659373,0.5702918563204813,0.5217074265474316,0.6208978129603465,0.8262453475475315,0.8250735047093676,0.7943264487879298,0.8536035636435044,0.6765139923592872,0.6747386027496047,0.6144859058610586,0.7278213610852562,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_cluster_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-clk64-sw1.0-cs0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5688093841996378,0.5709693377160496,0.5180796748386448,0.6300506549547982,0.8247570682285115,0.82288477017084,0.789598422233153,0.8561036762881011,0.6748651138318282,0.6739197413423772,0.6030361721910299,0.7315934505190841,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.95-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5713021947749288,0.5712267388095373,0.5194964715011978,0.6373821829995935,0.8234404400903519,0.823600126561504,0.7847444678341005,0.8550055792006097,0.6718790574733662,0.6736994330285928,0.5937439527946727,0.7301234160978052,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss-1-15-randomwalk-2-1.0-0.01-0.1-1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5717982312339108,0.571463654058771,0.5239981778846692,0.6418158935651178,0.8230356237107619,0.8226999837943092,0.7810693155868339,0.8522771654544349,0.6710699789427488,0.6734100452131794,0.5880723587672093,0.7254259095735466,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.0-learnspecw10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.570600785991761,0.5716476167646475,0.5232385923792319,0.6304627022087758,0.823238703917145,0.8219193078950231,0.7850581292351655,0.8524349029717175,0.6728848898513435,0.6732133220788222,0.6025167811236085,0.726221375445,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K300-reference-5-1000-faiss-1-15-randomwalk-2-1.0-0.01-0.1-1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5702936421177148,0.5720842626898797,0.5196939682519371,0.6365063638884155,0.8233484215385665,0.821610050997176,0.7836232402192417,0.8557461244169912,0.6731421956938363,0.6726846400316006,0.594859648729548,0.7299181793625545,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5743339612062192,0.5722106560336992,0.5199321121273145,0.6491180402186358,0.8216067213222833,0.8219122997328496,0.7760928735403384,0.8544038627809197,0.6680145359056298,0.6725701169022036,0.5786457698627174,0.7296705987788297,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K2300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5774228603874695,0.5723301931480718,0.5267290801163683,0.655195221067667,0.8197968746870337,0.8217629784477323,0.7732985488332874,0.8518813505270966,0.6643178302040453,0.6724337060949103,0.570719222290091,0.7225564761597645,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5730295968520358,0.5723999023967549,0.5235158995503596,0.6315412735980362,0.8216423633130256,0.8221807514541628,0.7852995705331552,0.8529289046284473,0.6700987849862019,0.6722544046964967,0.6011556197421704,0.7259311029179778,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5735645101482748,0.5730911026652113,0.5231818595109277,0.6417316012880263,0.8213997920862299,0.8215826086030404,0.7768400809191698,0.8523883810843089,0.6689984867975778,0.6715539399611956,0.5881805519083056,0.726280741878688,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.567538182388968,0.5731521460976688,0.5190039777687019,0.617555189901391,0.8253235161581305,0.8212977772183789,0.7963167091770897,0.8555708899564192,0.676590461699522,0.671453830342441,0.6186255874258568,0.7306348710602648,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5708619814493703,0.5731495731871308,0.5227447497526652,0.6255014706545986,0.8232878008658693,0.8210518875974244,0.7909328513000977,0.8531144742690205,0.672705972572891,0.6714027795422094,0.6087479102089344,0.7267379266060234,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5726581127835146,0.5734675714985866,0.5273089174356068,0.6314916901152549,0.8222470531766348,0.8216341428838203,0.7868287922199546,0.8507206279690133,0.6704851557400149,0.6710857996123685,0.6012182453153789,0.7219453055928884,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K1300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.95-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5793190689851251,0.5738061918379714,0.524616992199631,0.6652687115904943,0.8183042403789839,0.8214786712648567,0.767050735245694,0.8520654468269142,0.6616859146170692,0.6707103906441249,0.5574175413787237,0.7247770114954123,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5733324530622925,0.5740592725336694,0.5267910228653044,0.6347562796677786,0.8218224265471782,0.8203036304428444,0.785720041318409,0.8509638367831951,0.6698237337515353,0.6703585849016603,0.5970844654223209,0.7224912182285262,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K300-reference-5-1000-faiss-1-15-randomwalk-2-1.0-0.01-0.1-1.0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5725377366041557,0.5740993426838557,0.5277584533827036,0.6303236499641404,0.8226860811317496,0.8211195413401862,0.7889424453999165,0.8515311008410249,0.6706837118980374,0.6703455850671058,0.6026920962958838,0.7214710148830967,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.9-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5750192511040797,0.5744817245526177,0.5250727448080352,0.6557461185371912,0.821878235495739,0.8204927782057231,0.7796921759359773,0.8519350549672701,0.6673495132944425,0.6699706590175509,0.5699970280234079,0.7242986126597559,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5785887255848869,0.5747295630548303,0.5240576858408917,0.6656229001596012,0.8186503915579761,0.8195724665323576,0.7684178773307679,0.8528830902996106,0.6627304771178686,0.669671101782612,0.5569461547831216,0.7253635419110892,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_cluster_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-clk64-sw1.0-cs010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5749407995738138,0.574798986494701,0.5192460360964587,0.6474602983339967,0.82006050112767,0.8195781621299691,0.7731514197505422,0.8557321535114085,0.6672427434383545,0.6695901976939584,0.580795162081252,0.7303835539981152,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K1300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.0-learnspecw10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.576841082871137,0.5752047086535912,0.5256969786312995,0.6518043906957073,0.819950336822099,0.8210519532423275,0.771232358469445,0.8529771288624317,0.6651985293909146,0.6691252383222874,0.5751510362697978,0.7236426866579231,,,,,,,,
