model,kernel_family,is_full,n_lipids,n_folds,n_runs,test_r2_mean,test_r2_median,test_corr_mean,test_corr_median,test_rmse_z_mean,test_rmse_z_median
[full] LGPALL-MEAN-5-data-2000-1000-learnind-ard10,whole-brain Euclidean (Matern) latent GP,True,5,8,8,0.38162962149391005,0.4254273950607879,0.5964430958661646,0.6604691323593993,0.771736830312898,0.7580030444605492
[full] LGPALL-MEAN-5-reference-2000-1000-learnind-ard10,whole-brain Euclidean (Matern) latent GP,True,5,8,8,0.38459023917943524,0.424722197704569,0.5978709814610237,0.6589966484153736,0.7699734314664038,0.7584705947446875
[full] LGPALL-MEAN-5-data-2000-1000-learnind-ard10_log,whole-brain Euclidean (Matern) latent GP,True,5,8,8,0.3135520017610137,0.42184210422515195,0.5859527496169741,0.6584533249531916,0.8088131014832385,0.7603658958968245
[full] LGPALL-MEAN-5-reference-2000-1000-learnind-ard10_log,whole-brain Euclidean (Matern) latent GP,True,5,8,8,0.3088664929085013,0.42164847833827956,0.5869982585736369,0.6581757593045036,0.8110391587621624,0.7604903988827287
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_cluster_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-clk64-sw1.0-cs010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.36838346444377457,0.4143184159816904,0.5891296940581053,0.6524235173219662,0.7796499228494037,0.7652924674152761
[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.3682135168577383,0.4139586779754113,0.5855116787168889,0.6504811174453857,0.7804595392433008,0.7655219651233163
[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.36977162787940837,0.4138760392668759,0.5861925074171758,0.6499476343559936,0.7794517782578894,0.7655865213332707
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.0-learnspecw10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.36730770329406487,0.4128570423724516,0.5875793243248847,0.6524673818759295,0.780682861765458,0.7662518556703592
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.95-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.36585016270832393,0.41263863210099894,0.5868015964653617,0.6540536453968316,0.7815538292983668,0.7663836688483122
[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.3705614459572075,0.41151995210827874,0.5872285871413736,0.6499611765431151,0.7792803201807759,0.7671229650471609
[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.36340929664965793,0.4111202379614892,0.5829599574134317,0.6490771865665175,0.7827930018873767,0.7673796649817907
[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.35901541818276483,0.4093346409159816,0.5816724522136353,0.6475957504668277,0.7861186494813076,0.7685300489238183
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.9-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3631698683750157,0.40858948199592693,0.5853223000200046,0.651491733480499,0.7833451137006563,0.7690292341334535
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss-1-15-randomwalk-2-1.0-0.01-0.1-1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3681429989353268,0.4081450473476907,0.5874467897508238,0.6505018974396282,0.7802495359454278,0.7693172619713273
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_cluster_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-clk64-sw1.0-cs0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.36994608115368804,0.4081170130236716,0.5883957270982263,0.6506123859287103,0.7788097820090594,0.7693378404565594
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss-1-15-randomwalk-2-1.0-0.01-0.1-1.0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.36901262559942294,0.40728279451554417,0.5879147967821788,0.6485713952299054,0.779949084728684,0.7698809929366042
[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.36883076242509966,0.40726906319280937,0.5861811835753613,0.6459534533356336,0.7803349179412249,0.7698891904570422
[full] MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.3694818035204891,0.4066247422699951,0.5853018555108568,0.6470371373650531,0.7792106367352902,0.7703074564915322
